objectID,title,department,objectDate,culture,medium,classification,artistDisplayName,country,period,objectBeginDate,objectEndDate
114390,Button,Costume Institute,ca. 1770,British,enamel,,,,,1765,1775
189950,Pair of vase handles,European Sculpture and Decorative Arts,19th century,,Gilt bronze,Metalwork-Gilt Bronze,,,,1800,1899
260343,Brooklyn Beachcomber,Photographs,1945,,Gelatin silver print,Photographs,Brett Weston,,,1945,1945
206006,Two-handled beaker and saucer,European Sculpture and Decorative Arts,1720–25,,Hard-paste porcelain,Ceramics-Porcelain,Meissen Manufactory,,,1720,1725
32646,Roundel Dagger,Arms and Armor,15th century and later,South French,"Steel, copper alloy, gold",Daggers,,France,,1401,1900
447828,Petrified Lemon,Islamic Art,3rd–12th century,,Lemon,Miscellaneous,,Egypt,,200,1199
659561,"The Chincha Islands – Distance, Five Miles Northwest by West",Drawings and Prints,after 1860,,Hand-colored lithograph,Prints,Currier & Ives,,,1860,1860
421238,Downtown Manhattan,Drawings and Prints,1934,,Etching,Prints,Albert E. Flanagan,,,1934,1934
36468,Ichikawa Danjuro Fifth as a Komuso Holding a Basket-Hat in His Right Hand,Asian Art,ca. 1775,Japan,Diptych of woodblock prints (nishiki-e); ink and color on paper,Prints,Katsukawa Shunshō　勝川春章,,Edo period (1615–1868),1765,1785
670282,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,490–480 BCE,"Greek, Attic",Terracotta,Vases,,,Late Archaic,-500,-450
270324,"St. Paul's, London",Photographs,1870s,,Albumen silver print from glass negative,Photographs,Unknown,,,1870,1879
35161,Poniard or Dirk,Arms and Armor,early 19th century,"Spanish, Balearic Islands","Steel, brass, horn, bone, possibly tin",Knives,,Spain,,1801,1850
32353,Halberd,Arms and Armor,early 16th century,German,"Steel, wood, textile (velvet)",Shafted Weapons,,Germany,,1500,1550
452262,Seal Stamp,Islamic Art,late 19th–early 20th century,,Chalcedony (carnelian),Seals,,Iran,,1875,1925
382579,Two Dancing Dwarfs,Drawings and Prints,ca. 1643,,Etching,Prints,Stefano della Bella,,,1638,1648
399616,"Un Candidat, plate 48 from ""Caricaturana""",Drawings and Prints,"May 18, 1837",,Lithograph on newsprint,Prints,Honoré Daumier,,,1808,1879
889470,L'Entré triumphale des Troupes royales a Nouvelle Yorck (The Triumphal Entry of Royal Troops into New York),Drawings and Prints,ca. 1776,,Hand-colored etching and engraving,Prints,"Anonymous, French, 18th century",,,1771,1781
770649,Drunk Beggar Vomitting,Drawings and Prints,1633,,Engraving,Prints,Jan van de Velde II,,,1633,1633
416723,"Man of Sorrows, from Speculum Passionis Domini Nostri Ihesu Christi",Drawings and Prints,1507,,Woodcut,Prints,Hans Baldung (called Hans Baldung Grien),,,1507,1507
118677,Evening coat,Costume Institute,ca. 1922,Italian,"silk, glass",,Fortuny,,,1917,1927
34996,Pair of Sword-Grip Ornaments (Menuki),Arms and Armor,19th century,Japanese,"Copper-gold alloy (shakudō), gold",Sword Furniture-Menuki,,Japan,,1801,1900
399673,"Female Nude, Standing",Drawings and Prints,1920,,Drypoint,Prints,Elie Nadelman,,,1920,1920
50349,Vase in Shape of Archaic Chinese bronze,Asian Art,second half of the 18th century,Japan,"Porcelain with celadon glaze (Hizen ware, Nabeshima type)",Ceramics,,,Edo period (1615–1868),1750,1799
767590,Jack Holt (Paramount) from Western Stars Exhibit Playing Cards (W403),Drawings and Prints,ca. 1928,,Commercial color photolithograph,Prints,Exhibit Supply Company,,,1923,1933
188215,Spoon caddy,European Sculpture and Decorative Arts,1798–99,,Silver,Metalwork-Silver,"T. W., London",,,1798,1799
43625,Hatchet,Asian Art,,France,Jadeite,Jade,,,,1902,1902
460282,Hip-joint armchair (Dantesca type),Robert Lehman Collection,15th or 16th century (textiles); 19th century (?) with earlier parts (chair),Italian (?),"Walnut, carved; silk cut velvet, metal.",Woodwork-Furniture,,,,1400,1900
41016,Seal,Asian Art,,China,Green jade,Seals,,,Song dynasty (960–1279),960,1279
558652,Scarab,Egyptian Art,ca. 1640–1550 B.C.,,Green jasper,,,Egypt,Second Intermediate Period,-1640,-1550
775070,[Paper Moon Studio Portrait],Photographs,1900s–1930s,,Gelatin silver print,Photographs,Unknown,,,1900,1939
